name,effect,ranking,score,risk,risk_category
화초열매추출물,"화초열매추출물(Zanthoxylum Bungeanum Fruit Extract)은 피부 진정과 항염 효과로 화장품에 사용되며, 천연 방부제 역할도 수행할 수 있습니다. 그러나 민감한 피부에는 자극을 줄 수 있으므로 주의가 필요합니다.",,,민감성,자극
화초열매오일,"화초열매오일(Zanthoxylum Bungeanum Fruit Oil)은 피부 진정 효과와 함께 항균, 항염 기능을 제공하므로 화장품에서 자주 사용됩니다. 특히 민감성 피부 제품에 적합하며, 자극을 줄이고 피부 장벽을 강화하는 데 유용합니다. 단, 민감한 경우 패치 테스트가 필요합니다.",,,민감성,없음
화초껍질/열매/꽃/줄기추출물,"화초껍질/열매/꽃/줄기추출물(Zanthoxylum Bungeanum)은 피부 진정과 소독 효과가 있으며, 항산화 작용으로 노화 방지에도 도움을 줄 수 있습니다. 민감 피부에는 자극이 있을 수 있으니 주의가 필요합니다. 주로 스킨케어 제품에 사용됩니다.",,,민감성,자극
화초과피추출물,"화초과피추출물은 피부 진정 및 항염 효과가 있는 성분으로, 흔히 피부 자극을 줄이고 보호하는 데 사용됩니다. 또한 항균 특성이 있어 여드름 피부 관리에도 도움을 줄 수 있습니다. 다만 민감한 피부에는 자극이 될 수 있으니 주의가 필요합니다.",,,민감성,자극
"1-아미노-2-나이트로-4-(2‘,3’-다이하이드록시프로필)아미노-5-클로로벤젠과 1,4-비스-(2‘.3’-다이하이드록시프로필)아미노-2-나이트로-5-클로로벤젠","화장품 성분인 1-아미노-2-나이트로-4-(2‘,3’-다이하이드록시프로필)아미노-5-클로로벤젠과 1,4-비스-(2‘,3’-다이하이드록시프로필)아미노-2-나이트로-5-클로로벤젠은 주로 염모제로 사용되며, 색상을 정확히 유지 및 발현시키는 데 도움을 줍니다. 사용 시 알레르기 반응에 주의가 필요합니다.",,,민감성,알레르기
화이트폰드릴리꽃추출물,"화이트폰드릴리꽃추출물(백련꽃 추출물)은 주로 피부 진정 및 수분 공급 효과로 알려져 있습니다. 항산화 성분이 포함되어 있어 피부를 보호하고 활력을 줍니다. 일반적으로 자극이 적어 다양한 피부 타입에 적합하지만, 알러지가 있는 경우 주의가 필요합니다.",,,민감성,알러지
화이트포플러껍질추출물,"화이트포플러껍질추출물은 항산화 성분이 풍부하여 피부 노화 방지에 도움을 줍니다. 피부 진정 효과가 뛰어나며, 민감성 피부의 자극 완화에도 유용합니다. 일부에서는 알러지 반응이 있을 수 있으므로 주의가 필요합니다.",[주의],2-6,민감성,알러지
화이트티트리잎추출물,"화이트티트리잎추출물은 피부 진정 및 항염 효과로 유명한 성분입니다. 붉은기 완화와 여드름 개선에 도움을 줄 수 있으며, 항균 작용을 통해 피부를 보호하는 데 유용합니다. 또한, 피부 자극이 적어 민감성 피부에도 적합합니다.",,,민감성,없음
화이트티트리잎오일,"화이트티트리잎오일은 항균 및 항염 작용이 뛰어나여 피부 트러블 완화에 도움을 줍니다. 또한, 상쾌한 향으로 아로마테라피에 사용되며 피부를 진정시키고 깨끗하게 유지하는 데 효과적입니다. 민감한 피부에는 주의가 필요할 수 있습니다.",[안전],1,민감성,없음
화이트쿤제아가지/잎/잔가지오일,"화이트쿤제아가지/잎/잔가지오일은 주로 항균 및 항염 효과로 알려져 있으며, 피부 진정과 트러블 완화에 도움을 줄 수 있습니다. 그러나 드물게 민감 피부에서는 알레르기 반응이 있을 수 있으므로 패치 테스트가 권장됩니다.",,,민감성,드물게 알레르기
